Image_Path,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,Label_10,Label_11,Label_12,Label_13,Label_14,Label_15,Label_16,Label_17,Label_18,Label_19,Label_22,Label_23,Label_25,Label_26,Label_27,Label_28,Label_29,Label_31,Label_32,Label_34,Label_35,Label_36,Label_37,Label_39,Label_40,Label_41,Label_42,Label_43,Label_44,Label_47,Label_48,Label_49,Label_50,Label_51,Label_53,Label_54,Label_55,Label_56,Label_57,Label_58,Label_59,Label_60,Label_61,Label_62,Label_64,Label_65,Label_66,Label_67,Label_68,Label_69,Label_70,Label_72,Label_73,Label_74,Label_75,Label_77,Label_78,Label_79,Label_80,Label_81,Label_82,Label_83,Label_85,Label_87,Label_88,Label_89,Label_90,Label_92,Label_93,Label_94,Label_95,Label_97,Label_98,Label_100,Label_101,Label_105,Label_106,Label_107,Label_109,Label_110,Label_111,Label_112,Label_113,Label_114,Label_115,Label_116,Label_117,Label_118,Label_119,Label_122,Label_123,Label_124,Label_125,Label_126,Label_128,Label_129,Label_131,Label_132,Label_133,Label_134,Label_135,Label_136,Label_137,Label_138,Label_139,Label_140,Label_141,Label_142,Label_143,Label_144,Label_145,Label_146,Label_147,Label_148,Label_149,Label_150,Label_151,Label_153,Label_154,Label_155,Label_156,Label_157,Label_158,Label_159,Label_160,Label_161,Label_162,Label_163,Label_165,Label_167,Label_168,Label_169,Label_171,Label_172,Label_173,Label_174,Label_175,Label_177,Label_186,Label_188,Label_189,Label_190,Label_191,Label_192,Label_193,Label_194,Label_195
./test\649,0.9688085794199011,0.0010930572993305692,0.00016430406438718194,0.00014173780219530315,0.00017773503442274302,0.0006636022404360048,0.016989608161303255,0.0002928966587576178,9.268808576410841e-05,3.654972670492896e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001753544389406442,0.0001270504323125552,9.217558361921252e-05,7.693549186169103e-05,0.001002422079042153,0.00013502494248360911,0.00035050081812044027,0.0001098559189232343,0.0005026057863540843,0.000296556929660957,0.004404702708625309,0.00013366971774179094,0.0002751957673053404,0.0004652818836127651,0.00017389672034451986,0.00020283902370541056,0.0027874495214334724,4.8706177488298524e-05,0.0001790175652216357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9742604993313627,0.002411960202007617,0.00035274501097964304,0.00019822827209072286,0.0005942402224336695,0.000250904164720336,0.005530943178882151,0.0003593682607419148,0.00012048439707508507,4.060150378481886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031212757604706296,0.00011036308326325724,0.00036499364009120186,7.269170399706111e-05,1.6988363183382376e-05,0.0002780806843106133,8.438603634227296e-05,0.0003127659495514724,0.00012398658432307363,0.0040200615407313435,0.000802537586345634,0.00033860501058229054,0.001983587379011449,0.00016604775812824115,0.0003446211777717348,0.00024823272244805773,0.0002162647906097961,0.0002016548926380597,0.005666842948672302,4.9997607838527445e-05,0.0001651884200346131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8018117941805256e-05,0.9988002948535751,2.9842990373414696e-05,1.3229963385893963e-05,1.7870751014364735e-05,5.144009474625253e-06,6.710698599724611e-06,0.0008172454913881884,8.768480251840731e-06,1.0485948900912563e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5936891382273642e-05,3.6739269580228295e-06,6.2562193952831865e-06,2.098133065994856e-06,4.7322850149135256e-07,4.006534085333844e-06,1.4864676141454696e-06,4.8089204145985765e-06,4.887800430408467e-06,3.215650239336333e-06,9.014767541182359e-05,4.213387329098219e-05,9.003971370608244e-06,2.46473675601192e-05,6.3263565885380884e-06,3.492081694694776e-06,1.6273400889183894e-05,6.41244913570043e-06,6.746433986554851e-06,1.4220389498880372e-06,8.376628139945129e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1669009954789528e-05,0.9997208194507667,1.5675142311030878e-05,3.835136946966346e-06,1.1249094101363525e-06,1.3120946030029876e-06,1.6725071076680828e-06,0.00017662586163844952,1.2947347243973053e-06,1.6315642254724472e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2464271705579441e-06,7.544174561186167e-07,6.653999399951293e-07,4.6424983850730046e-07,1.830378928068037e-07,1.1215768373267984e-06,3.5902180664094007e-07,9.79813705360286e-07,1.155648125228605e-06,9.005538150445201e-07,2.27555302456625e-05,6.736622061563315e-06,1.8281519564369414e-06,5.321175948353137e-06,1.3975173428632902e-06,7.140293463881692e-07,3.593622645301836e-06,1.4137507776574411e-06,2.189567934631957e-06,4.071088535694114e-07,1.6207724140222167e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460689845072937e-07,1.5918402023596539e-06,0.9999796044354577,1.1406660521741165e-05,2.3037158155482006e-07,8.900847282401237e-08,1.063006312995982e-07,1.7127851986100315e-07,1.8487717477188287e-06,3.70507657036932e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1994588938240552e-07,9.336612933239736e-08,6.484671848551084e-08,6.053961528595595e-08,3.734888296651403e-08,8.258856974247837e-08,2.5477222659581944e-08,6.830221270991552e-08,1.4611480219078134e-07,5.124353775240772e-08,1.6948731397086655e-07,2.711436947329192e-06,8.997148717615058e-08,7.94436870573594e-08,1.6490188201496956e-07,1.4933135508472878e-07,1.1241919380532053e-07,1.0203690237222198e-07,9.204264534124732e-08,5.1893947857984674e-08,9.54741720401231e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3975664255952372e-06,4.917094097923536e-07,4.50866967890968e-07,0.999985992585378,6.083624622950207e-06,9.404117962067265e-08,1.581508955862357e-07,2.6742028212044614e-07,1.1027731777845613e-07,7.133115660304045e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6646965028016815e-07,1.1053194059150019e-07,2.886259767386841e-07,1.0290861028934534e-07,9.050680949363372e-08,8.200194449599799e-08,7.848203693980835e-08,2.344408207630086e-07,1.5420930158449575e-06,9.695956311680327e-08,2.71806839869682e-07,1.6246735167559832e-07,9.621177530748099e-08,1.1680978009570948e-07,2.617863165572e-07,3.725485166389572e-07,1.8549955941719372e-07,1.6083457002258343e-07,7.611080602300137e-08,2.885719954339449e-07,9.675848439879629e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2963479115497763e-06,3.6527372508324063e-07,1.1345029777000912e-05,0.9999503669043724,2.7683258672097955e-05,1.8110552457744767e-07,3.1043401389185037e-07,6.38944323892558e-07,8.919484606436202e-07,8.093568301185646e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.155345052803026e-07,1.8919580559250172e-07,5.133007683636629e-07,1.2292953857440236e-07,3.9771048721558624e-07,1.3820238667577832e-07,1.070619195450997e-07,3.1439543377795695e-07,9.172712955544225e-07,1.50998664730265e-07,5.252905391660645e-07,2.6729116050032016e-07,1.238816073205988e-07,2.1139083492200005e-07,4.633546678841149e-07,4.988485125358371e-07,3.0422899941125e-07,2.759908920195297e-07,2.3639678708275776e-07,2.0144032915783798e-07,1.6510240044889942e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400211413677576e-06,1.922600842841279e-06,7.2973437516651915e-06,2.3691433225157185e-05,0.9980598059466377,1.2148665708956453e-05,1.575942557634335e-05,2.6984447992061987e-05,3.5647993453429106e-05,2.0477468790677946e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2684399503921062e-05,5.4653783243571285e-06,3.9632675395274744e-06,2.8543092306154213e-06,4.5153018889021965e-05,5.1892575710121e-06,1.8765808198059753e-05,9.416819658986405e-06,0.0001914986429760884,5.214953723296074e-06,5.762261667399945e-06,5.6874037540297036e-06,4.039768777802959e-06,8.226364668422572e-06,9.804560189347098e-06,4.584063391647629e-06,1.0226790826977524e-05,9.293327499983129e-06,4.325201231764266e-06,0.001437718337788812,5.420249108045062e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8687498501154192e-06,2.2000591623192003e-07,9.501980142921992e-07,1.3639538331791503e-06,3.0515659643426797e-07,0.9998672213505706,1.1210417825679414e-05,2.25293499073017e-06,2.3829751552737243e-06,2.692443700103858e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005948541462183e-06,1.0941047739819461e-06,1.0044564472632673e-06,3.4924591658449465e-07,2.134060331387622e-06,2.9925779983392557e-06,4.387732473768263e-06,1.8669972343535992e-06,4.422218413913933e-06,1.119661695636765e-06,8.143268530998924e-07,8.562081610802452e-07,7.910555879868549e-05,1.0584365445043585e-06,1.122190950534158e-06,7.469746917082425e-07,2.59234990771492e-06,1.9201337152790716e-06,6.30466604414233e-07,1.368212004303357e-06,1.268504506649095e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./test\658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.346561977018077e-05,3.083294840280205e-06,6.476082345808078e-07,8.11732588914028e-07,2.6555062899605985e-06,1.5252026541348675e-05,0.9999286862045161,2.4956042886534624e-06,7.28696164521465e-07,1.3933313537180448e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24509296129739e-07,6.235233995958592e-07,5.071744203824769e-07,3.1706261502228874e-07,2.788235820354661e-07,1.271731489384497e-06,1.6653254016110897e-06,8.341441691850009e-07,8.734917683718863e-07,1.1885922510895787e-06,8.71365869577415e-07,7.956733069864122e-07,1.0911493363107764e-06,6.183962163125828e-07,1.4046450314882514e-06,1.2613360227285283e-06,8.71263245391347e-07,8.087968161338322e-07,5.257740786991635e-06,2.6266083252968146e-07,6.069677725258587e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
